Timestamp,"Birthday (MM/DD/YYYY)

i.e. 01/14/2001","Height (Answer in Inches Please)

i.e. 60 inches = 5'0",Sex,Coffee or Tea?,Early Bird or Night Owl,"What is your current state of residence? Please answer in abbreviations.

i.e. NJ, MD, PA, NY, CA, etc.",How long have you stayed in this state? Answer in years and can be in decimals!,Which county are you from? COUNTY not country,"What state have you lived in the longest? Write down that state(s) in abbreviation. Otherwise, write N/A","If so, how long? Write N/A if you answered ""N/A""",What do you call the action shown in the picture above?
11/22/2022 3:24:50,08/19/2002,61,Female,Tea,Night Owl,NJ,20,Camden,N/A,N/A,Waterfall
11/22/2022 3:33:28,01/10/2002,64.8,Female,Tea,Night Owl,MD,16,Howard,OH,4,Waterfall
11/22/2022 5:38:43,10/26/2002,60,Female,Tea,Early Bird,IN,0.17,United States ,IL,19,Waterfall
11/22/2022 6:35:28,10/28/2000,73,Male,Neither,Night Owl,MD,22,St mary’s county,N/A,N/A,Waterfall
11/22/2022 7:52:55,10/23/2002,62,Nonbinary,Coffee,Night Owl,MD,12.5,Harford,CA,8,Waterfall
11/22/2022 8:24:17,05/20/2002,60,Female,Tea,Early Bird,MD,20.5,St. Mary’s County,N/A,N/A,Waterfall
11/22/2022 8:54:02,05/03/2002,66,Female,Tea,Night Owl,MD,20.5,United States,N/A,N/A,Waterfall
11/22/2022 9:29:57,09/04/2001,76,Male,Tea,Night Owl,MD,21,USA,N/A,N/A,Waterfall
11/22/2022 10:06:49,08/03/2004,65,Female,Neither,Night Owl,MD,5,Howard,"TN (India), TX","8,5",Waterfall
11/22/2022 10:47:20,04/18/2002,62,Female,Tea,Night Owl,MD,7.4,United States,"KY, IA","6, 5",Waterfall
11/22/2022 12:49:26,11/25/2002,76,Male,Tea,Night Owl,MD,10,USA,WI,1.5,Waterfall
11/22/2022 13:03:11,07/14/2008,61,Female,Neither,Night Owl,MD,5,India,"Texas, Tamil Nadu (India), Maryland","3 years, 5 years, 5 years",Airsip
11/22/2022 13:58:27,05/04/1977,64,Female,Coffee,Night Owl,MD,17,India,OH,4,Waterfall
11/22/2022 18:12:25,11/30/2001,68,Male,Tea,Night Owl,NJ,10,US,NY,2,Airsip
11/22/2022 19:17:01,12/26/2006,62,Female,Coffee,Night Owl,MD,15.92,Howard,N/A,N/A,Waterfall
11/22/2022 20:07:16,04/27/2001,62,Female,Coffee,Night Owl,MD,18,Peru,N/A,N/A,Waterfall
11/22/2022 20:15:13,04/02/2001,61,Female,Tea,Night Owl,MD,21,US,N/A,N/A,Waterfall
11/22/2022 20:15:29,11/08/2002,69,Female,Tea,Night Owl,MD,19,Montgomery,TX,1,Airsip
11/22/2022 20:16:27,01/15/2002,71,Male,Coffee,Night Owl,MD,20.9,United States,N/A,N/A,Airsip
11/22/2022 20:22:03,11/11/1999,1,Female,Tea,Early Bird,RM,7,BTS,Seokjin oppar,7,Holy juice drip 🤤
11/22/2022 20:30:30,02/13/2002,67,Female,Tea,Night Owl,MD,19.2,USA,N/A,N/A,Airsip
11/22/2022 21:31:41,04/01/2002,66,Female,Coffee,Night Owl,MD,20,United States of America,N/A,N/A,Airsip
11/22/2022 21:34:09,08/21/2002,67,Female,Tea,Night Owl,MD,18,Montgomery County,VA,2 years,Airsip
11/22/2022 21:34:43,08/29/2003,72,Male,Neither,Night Owl,PA,16,USA,MN,3,Waterfall
11/22/2022 21:36:19,04/26/2001,68,Male,Tea,Night Owl,MD,21.58,St. Mary’s ,N/A,N/A,Waterfall
